"game_name","game_name_abbr","index_name",dimension,reversed
"卡片分类PRO","CardSortPro","switch_cost_ies",Shifting,t
"卡片分类PRO","CardSortPro","switch_cost_rcs",,
"卡片分类PRO","CardSortPro","switch_cost_lisas",,
"卡片分类PRO","CardSortPro","pc_switch",,
"卡片分类PRO","CardSortPro","pc_repeat",,
"卡片分类PRO","CardSortPro","mrt_switch",,
"卡片分类PRO","CardSortPro","mrt_repeat",,
"卡片分类PRO","CardSortPro","ies_switch",,
"卡片分类PRO","CardSortPro","ies_repeat",,
"卡片分类PRO","CardSortPro","rcs_switch",,
"卡片分类PRO","CardSortPro","rcs_repeat",,
"卡片分类PRO","CardSortPro","lisas_switch",,
"卡片分类PRO","CardSortPro","lisas_repeat",,
"注意警觉","AttenAlert","cong_eff_pc",,
"注意警觉","AttenAlert","cong_eff_mrt",,
"注意警觉","AttenAlert","cong_eff_ies",Inhibition,t
"注意警觉","AttenAlert","cong_eff_rcs",,
"注意警觉","AttenAlert","cong_eff_lisas",,
"注意警觉","AttenAlert","alert_pc",,
"注意警觉","AttenAlert","alert_mrt",,
"注意警觉","AttenAlert","alert_ies",Attention,t
"注意警觉","AttenAlert","alert_rcs",,
"注意警觉","AttenAlert","alert_lisas",,
"注意警觉","AttenAlert","alert_aud_pc",,
"注意警觉","AttenAlert","alert_aud_mrt",,
"注意警觉","AttenAlert","alert_aud_ies",,
"注意警觉","AttenAlert","alert_aud_rcs",,
"注意警觉","AttenAlert","alert_aud_lisas",,
"注意警觉","AttenAlert","alert_vis_pc",,
"注意警觉","AttenAlert","alert_vis_mrt",,
"注意警觉","AttenAlert","alert_vis_ies",,
"注意警觉","AttenAlert","alert_vis_rcs",,
"注意警觉","AttenAlert","alert_vis_lisas",,
"塔罗牌","WxPred","nc",Learning,f
"变色魔块PRO","StopSigPro","pc_all",,
"变色魔块PRO","StopSigPro","pc_go",,
"变色魔块PRO","StopSigPro","pc_stop",,
"变色魔块PRO","StopSigPro","rt_nth",,
"变色魔块PRO","StopSigPro","mean_ssd",,
"变色魔块PRO","StopSigPro","ssrt",Inhibition,t
"日常记忆表现","EMQ","nc_score",,
"睡眠信念和态度","SBQ","nc_score",,
"睡眠类型","STQ","nc_score",,
"近一个月睡眠质量","LMSQQ","nc_score",,
"昨夜睡眠质量","LNSQQ","nc_score",,
"遗忘与错误记忆严重性","FS","nc_score",,
"遗忘与错误记忆频率","FF","nc_score",,
"路径学习","PL","nc",Learning,f
"城市导航","LocMemAdv","nc",Memory,f
"城市导航","LocMemAdv","max_span",,
"城市导航","LocMemAdv","mean_span_pcu",,
"城市导航","LocMemAdv","mean_span_anu",,
"平面展开","Unfolding","nc",Quantitative,f
"图形推理","NVR","nc",Reasoning,f
"井然有序","ManipSpan","nc",Working Memory,f
"井然有序","ManipSpan","max_span",,
"井然有序","ManipSpan","mean_span_pcu",,
"井然有序","ManipSpan","mean_span_anu",,
"数字推理","DR","nc",Reasoning,f
"强化学习","ProbRL","pc_approach",,
"强化学习","ProbRL","pc_avoid",,
"强化学习","ProbRL","pc_learn",,
"强化学习","ProbRL","pc_test",Learn,f
"数字卡片PRO","Digit3back","pc",,
"数字卡片PRO","Digit3back","mrt",,
"数字卡片PRO","Digit3back","ies",,
"数字卡片PRO","Digit3back","rcs",,
"数字卡片PRO","Digit3back","lisas",,
"数字卡片PRO","Digit3back","dprime",Working Memory,f
"多变计数师","ReflectCount","pc",,
"多变计数师","ReflectCount","mrt",,
"多变计数师","ReflectCount","switch_cost_pc",,
"多变计数师","ReflectCount","switch_cost_mrt",,
"多变计数师","ReflectCount","switch_cost_ies",Shifting,t
"多变计数师","ReflectCount","switch_cost_rcs",,
"多变计数师","ReflectCount","switch_cost_lisas",,
"多变计数师","ReflectCount","pc_switch",,
"多变计数师","ReflectCount","pc_repeat",,
"多变计数师","ReflectCount","mrt_switch",,
"多变计数师","ReflectCount","mrt_repeat",,
"多变计数师","ReflectCount","ies_switch",,
"多变计数师","ReflectCount","ies_repeat",,
"多变计数师","ReflectCount","rcs_switch",,
"多变计数师","ReflectCount","rcs_repeat",,
"多变计数师","ReflectCount","lisas_switch",,
"多变计数师","ReflectCount","lisas_repeat",,
"专注大师_中级","CalcSpdMed","nc",Attention,f
"DRM错误记忆-记忆策略","DRMS","nc_score",,
"注意指向","AttenOrient","cong_eff_pc",,
"注意指向","AttenOrient","cong_eff_mrt",,
"注意指向","AttenOrient","cong_eff_ies",Inhibition,t
"注意指向","AttenOrient","cong_eff_rcs",,
"注意指向","AttenOrient","cong_eff_lisas",,
