game_name_origin,game_name,game_name_abbr,index_name,cur_version,dimension,reversed,check_result
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,switch_cost_lisas,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,switch_cost_mrt,初版,switching,yes,target
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,switch_cost_pc,初版,,,
候鸟迁徙PRO,候鸟迁徙PRO,BirdsPro,switch_cost_rcs,初版,,,
蝴蝶照相机,蝴蝶照相机,SCSpan,max_span,初版,,,
蝴蝶照相机,蝴蝶照相机,SCSpan,mean_span_anu,初版,,,
蝴蝶照相机,蝴蝶照相机,SCSpan,mean_span_pcu,初版,complex span,no,target-alt1
蝴蝶照相机,蝴蝶照相机,SCSpan,nc,初版,complex span,no,target-alt2
欢乐餐厅,欢乐餐厅,AscMem,nc,弃用,,,
欢乐餐厅PRO,欢乐餐厅PRO,AscMemPro,nc,清华大学测评后改版,associative learning,no,target
火眼金睛,火眼金睛,AttSrc,nc,初版,attention,no,target
节奏感知,节奏感知,RP,thresh_last_block,北师大测评后改版,perception,yes,target
节奏感知,节奏感知,RP,thresh_peak_valley,北师大测评后改版,,,
卡片分类PRO,卡片分类PRO,CardSortPro,ies_repeat,北师大测评后改版,,,
卡片分类PRO,卡片分类PRO,CardSortPro,ies_switch,北师大测评后改版,,,
卡片分类PRO,卡片分类PRO,CardSortPro,lisas_repeat,北师大测评后改版,,,
卡片分类PRO,卡片分类PRO,CardSortPro,lisas_switch,北师大测评后改版,,,
卡片分类PRO,卡片分类PRO,CardSortPro,mrt,北师大测评后改版,,,
卡片分类PRO,卡片分类PRO,CardSortPro,mrt_repeat,北师大测评后改版,,,
卡片分类PRO,卡片分类PRO,CardSortPro,mrt_switch,北师大测评后改版,,,
卡片分类PRO,卡片分类PRO,CardSortPro,pc,北师大测评后改版,,,
卡片分类PRO,卡片分类PRO,CardSortPro,pc_repeat,北师大测评后改版,,,
卡片分类PRO,卡片分类PRO,CardSortPro,pc_switch,北师大测评后改版,,,
卡片分类PRO,卡片分类PRO,CardSortPro,rcs_repeat,北师大测评后改版,,,
卡片分类PRO,卡片分类PRO,CardSortPro,rcs_switch,北师大测评后改版,,,
卡片分类PRO,卡片分类PRO,CardSortPro,switch_cost_ies,北师大测评后改版,,,
卡片分类PRO,卡片分类PRO,CardSortPro,switch_cost_lisas,北师大测评后改版,,,
卡片分类PRO,卡片分类PRO,CardSortPro,switch_cost_mrt,北师大测评后改版,switching,yes,target
卡片分类PRO,卡片分类PRO,CardSortPro,switch_cost_pc,北师大测评后改版,,,
卡片分类PRO,卡片分类PRO,CardSortPro,switch_cost_rcs,北师大测评后改版,,,
快速归类PRO,快速归类PRO,CRTPro,ies,初版,,,
快速归类PRO,快速归类PRO,CRTPro,lisas,初版,,,
快速归类PRO,快速归类PRO,CRTPro,mrt,初版,speeded IP,yes,target
快速归类PRO,快速归类PRO,CRTPro,nc,初版,,,
快速归类PRO,快速归类PRO,CRTPro,rcs,初版,,,
快速归类PRO,快速归类PRO,CRTPro,rtsd,初版,,,
连点成画PRO,连点成画PRO,FPTPro,nc,初版,strategic IP,no,target
连续再认A,连续再认,ConRec,commissions,弃用,,,
连续再认B,连续再认,ConRec,commissions,弃用,,,
连续再认A,连续再认,ConRec,dprime,弃用,,,
连续再认B,连续再认,ConRec,dprime,弃用,,,
连续再认A,连续再认,ConRec,mrt,弃用,,,
连续再认B,连续再认,ConRec,mrt,弃用,,,
连续再认A,连续再认,ConRec,nc,弃用,,,
连续再认B,连续再认,ConRec,nc,弃用,,,
连续再认A,连续再认,ConRec,omissions,弃用,,,
连续再认B,连续再认,ConRec,omissions,弃用,,,
连续再认A,连续再认,ConRec,rtsd,弃用,,,
连续再认B,连续再认,ConRec,rtsd,弃用,,,
连续再认PRO,连续再认PRO,ConRecPro,commissions,清华大学测评后改版,,,
连续再认PRO,连续再认PRO,ConRecPro,dprime,清华大学测评后改版,short term memory,no,target
连续再认PRO,连续再认PRO,ConRecPro,mrt,清华大学测评后改版,,,
连续再认PRO,连续再认PRO,ConRecPro,nc,清华大学测评后改版,,,
连续再认PRO,连续再认PRO,ConRecPro,omissions,清华大学测评后改版,,,
连续再认PRO,连续再认PRO,ConRecPro,rtsd,清华大学测评后改版,,,
美术卡片,美术卡片,Paint2back,dprime,初版,working memory,no,target
美术卡片,美术卡片,Paint2back,ies,初版,,,
美术卡片,美术卡片,Paint2back,lisas,初版,,,
美术卡片,美术卡片,Paint2back,mrt,初版,,,
美术卡片,美术卡片,Paint2back,pc,初版,,,
美术卡片,美术卡片,Paint2back,rcs,初版,,,
密码箱,密码箱,KeepTrack,max_span,初版,,,
密码箱,密码箱,KeepTrack,mean_span_anu,初版,,,
密码箱,密码箱,KeepTrack,mean_span_pcu,初版,working memory,no,target-alt1
密码箱,密码箱,KeepTrack,nc,初版,working memory,no,target-alt2
魔术师终极,魔术师终极,Nback4,dprime,北师大测评后改版,working memory,no,target
魔术师终极,魔术师终极,Nback4,ies,北师大测评后改版,,,
魔术师终极,魔术师终极,Nback4,lisas,北师大测评后改版,,,
魔术师终极,魔术师终极,Nback4,mrt,北师大测评后改版,,,
魔术师终极,魔术师终极,Nback4,pc,北师大测评后改版,,,
魔术师终极,魔术师终极,Nback4,rcs,北师大测评后改版,,,
强化学习,强化学习,ProbRL,pc_approach,初版,,,
强化学习,强化学习,ProbRL,pc_avoid,初版,,,
强化学习,强化学习,ProbRL,pc_learn,初版,,,
强化学习,强化学习,ProbRL,pc_test,初版,probability learning,no,target
人工语言-中级,人工语言-中级,AscLanMd,nc,初版,associative learning,no,target
三维心理旋转测试A,三维心理旋转测试,MR3D,nc,初版,reasoning,no,target
三维心理旋转测试B,三维心理旋转测试,MR3D,nc,初版,,,
声调判断,声调判断,Tone,commissions,初版,,,
声调判断,声调判断,Tone,dprime,初版,,,
声调判断,声调判断,Tone,mrt,初版,,,
声调判断,声调判断,Tone,nc,初版,language,no,target
声调判断,声调判断,Tone,omissions,初版,,,
声调判断,声调判断,Tone,rtsd,初版,,,
时间顺序判断,时间顺序判断,TOJ,thresh_last_block,初版,perception,yes,target
时间顺序判断,时间顺序判断,TOJ,thresh_peak_valley,初版,,,
时长分辨,时长分辨,DD,thresh_last_block,初版,perception,yes,target
时长分辨,时长分辨,DD,thresh_peak_valley,初版,,,
舒尔特方格（中级）,舒尔特方格（中级）,SchulteMed,nc_cor,清华大学测评后改版,attention,no,target
数感,数感,NsymNCmp,mrt,初版,,,
数感,数感,NsymNCmp,pc,初版,,,
数感,数感,NsymNCmp,w,初版,math,yes,target
数字卡片PRO,数字卡片PRO,Digit3back,dprime,初版,working memory,no,target
